X,CH1,
Second,Volt,
6.5600000e-02,6.00000e-03,
6.5799996e-02,2.00000e-03,
6.6000000e-02,4.00000e-03,
6.6199996e-02,0.00000e+00,
6.6399999e-02,-2.00000e-03,
6.6599995e-02,-6.00000e-03,
6.6799998e-02,-6.00000e-03,
6.6999994e-02,-6.00000e-03,
6.7199998e-02,-6.00000e-03,
6.7399994e-02,-4.00000e-03,
6.7599997e-02,-2.00000e-03,
6.7800000e-02,2.00000e-03,
6.7999996e-02,0.00000e+00,
6.8200000e-02,2.00000e-03,
6.8399996e-02,2.00000e-03,
6.8599999e-02,0.00000e+00,
6.8799995e-02,2.00000e-03,
6.8999998e-02,-4.00000e-03,
6.9199994e-02,-4.00000e-03,
6.9399998e-02,-6.00000e-03,
6.9599994e-02,-4.00000e-03,
6.9799997e-02,-6.00000e-03,
6.9999993e-02,-4.00000e-03,
7.0199996e-02,-2.00000e-03,
7.0400000e-02,-2.00000e-03,
7.0599996e-02,0.00000e+00,
7.0799999e-02,0.00000e+00,
7.0999995e-02,2.00000e-03,
7.1199998e-02,4.00000e-03,
7.1399994e-02,2.00000e-03,
7.1599998e-02,2.00000e-03,
7.1799994e-02,0.00000e+00,
7.1999997e-02,0.00000e+00,
7.2199993e-02,-2.00000e-03,
7.2399996e-02,-2.00000e-03,
7.2600000e-02,-4.00000e-03,
7.2799996e-02,-2.00000e-03,
7.2999999e-02,-4.00000e-03,
7.3199995e-02,-2.00000e-03,
7.3399998e-02,2.00000e-03,
7.3599994e-02,0.00000e+00,
7.3799998e-02,4.00000e-03,
7.3999994e-02,4.00000e-03,
7.4199997e-02,2.00000e-03,
7.4399993e-02,4.00000e-03,
7.4599996e-02,0.00000e+00,
7.4800000e-02,0.00000e+00,
7.4999996e-02,-2.00000e-03,
7.5199999e-02,-2.00000e-03,
7.5399995e-02,-4.00000e-03,
7.5599998e-02,-4.00000e-03,
7.5799994e-02,0.00000e+00,
7.5999998e-02,0.00000e+00,
7.6199993e-02,2.00000e-03,
7.6399997e-02,2.00000e-03,
7.6599993e-02,0.00000e+00,
7.6799996e-02,2.00000e-03,
7.6999992e-02,0.00000e+00,
7.7199996e-02,0.00000e+00,
7.7399999e-02,-4.00000e-03,
7.7599995e-02,-2.00000e-03,
7.7799998e-02,-6.00000e-03,
7.7999994e-02,-4.00000e-03,
7.8199998e-02,-2.00000e-03,
7.8399993e-02,-4.00000e-03,
7.8599997e-02,-2.00000e-03,
7.8799993e-02,-4.00000e-03,
7.8999996e-02,0.00000e+00,
7.9199992e-02,-2.00000e-03,
7.9399996e-02,0.00000e+00,
7.9599999e-02,0.00000e+00,
7.9799995e-02,-2.00000e-03,
